long,lat,state
-90.2232,33.1831,22
-91.3027,36.0799,1
-95.7114,32.6776,40
-93.5819,42.3102,9
-81.23,40.8873,32
-81.9098,26.6447,7
-106.3082,42.7416,47
-95.4714,28.9752,40
-97.5,44.7031,38
-82.7217,31.1663,8
-82.6182,35.1072,37
-106.7631,34.6147,29
-93.5242,40.5785,21
-82.1232,34.9667,37
-80.8769,41.2469,32
-83.5116,40.8051,32
-79.3812,39.4004,17
-77.1943,39.0141,17
-83.5203,31.4389,8
-89.1269,42.8074,45
-77.0851,38.6145,17
-82.0191,35.6525,24
-95.567,29.0454,40
-86.3229,31.3022,0
-123.8013,46.365,44
-76.9571,35.0706,24
-81.2298,37.741,46
-90.327,39.1176,11
-89.0447,38.4777,11
-77.685,40.8448,35
-121.75,38.6712,3
-89.4342,31.8322,22
-90.0904,30.3751,15
-87.9533,40.8783,11
-90.4968,33.0951,22
-76.9686,39.7859,35
-101.2911,47.8204,25
-123.197,39.2323,3
-117.0344,32.7331,3
-90.2237,41.554,11
-94.6404,39.7226,21
-118.6165,46.9705,44
-112.2497,42.1899,10
-73.5002,40.884,31
-86.5867,34.0814,0
-87.8784,41.183,11
-70.2005,41.6692,16
-92.6945,35.0349,1
-119.6357,39.2639,30
-78.6101,41.357,35
-83.0646,32.1059,8
-104.707,47.1101,23
-85.58,38.2728,14
-97.5272,35.8694,33
-122.0466,37.3168,3
-111.1623,39.7198,41
-84.6797,38.9996,14
-81.5993,40.7135,32
-89.7682,36.2311,21
-84.1908,38.0018,14
-83.6429,40.788,32
-106.3699,39.5092,4
-120.1199,37.5697,3
-74.0346,40.3357,28
-122.3035,47.9096,44
-106.1521,31.5136,40
-99.1604,40.7839,26
-97.4995,30.226,40
-73.6937,41.7842,31
-100.9536,41.5584,26
-82.4999,27.3229,7
-91.1557,40.9572,9
-73.7043,40.6647,31
-97.2166,43.4865,38
-92.2821,36.272,1
-72.3546,41.2711,5
-77.3031,41.7458,35
-94.2329,39.7444,21
-108.7517,35.2714,29
-91.5378,41.9518,9
-83.107,30.5968,7
-110.0309,40.4343,41
-99.4576,44.2482,38
-114.7105,32.6573,2
-81.7951,26.4276,7
-97.6114,26.1864,40
-85.6836,38.219,14
-84.3285,36.0399,39
-86.8407,34.1775,0
-89.6511,39.7543,11
-93.2743,37.465,21
-98.4483,40.3328,26
-84.3292,39.8689,32
-116.904,32.856,3
-84.7277,39.1068,14
-83.3886,35.7595,39
-90.9292,43.3163,45
-89.1152,32.5711,22
-97.9788,34.0826,33
-79.0991,36.0679,24
-78.4044,40.4301,35
-113.5418,32.8209,2
-80.8247,35.484,24
-79.9514,37.1156,42
-111.5878,42.659,10
-120.545,35.0809,3
-81.9423,32.8071,8
-90.8596,42.9697,45
-75.3224,40.311,35
-79.4428,42.3898,31
-81.7826,35.7307,24
-119.0306,35.4293,3
-89.0381,40.9104,11
-123.0577,48.9882,44
-91.4381,41.1259,9
-82.4066,41.0796,32
-98.1904,26.1685,40
-79.815,40.7509,35
-74.1879,41.5603,31
-84.232,42.8195,19
-80.0589,26.8754,7
-87.8718,41.989,11
-82.1848,35.1747,37
-85.8149,37.1008,14
-82.3215,32.2062,8
-76.6078,39.8986,35
-95.3193,44.0396,20
-74.0659,40.781,28
-76.935,36.3899,24
-70.1537,41.7051,16
-84.5108,36.5171,39
-78.406,36.3033,24
-98.2411,42.3368,26
-78.3301,40.3071,35
-89.7316,43.006,45
-97.1724,39.8452,13
-85.665,41.8378,19
-85.6132,38.2892,14
-76.0254,44.2865,31
-75.2501,40.0035,35
-110.1386,47.0781,23
-111.8334,41.5683,41
-97.0184,37.9385,13
-76.9641,38.8373,17
-75.4257,39.8639,35
-80.8033,34.9889,24
-88.2744,39.913,11
-96.9092,44.8888,38
-93.1211,40.6821,9
-75.6611,40.8019,35
-92.8211,41.7205,9
-96.6678,34.8657,33
-86.231,44.6209,19
-90.409,32.261,22
-93.7679,38.3716,21
-102.1094,34.9564,40
-83.6711,40.4613,32
-98.5222,40.0864,26
-77.0215,39.0412,17
-81.4413,36.7022,42
-77.0467,39.0698,17
-83.1005,38.698,32
-85.501,40.314,12
-121.8808,36.5919,3
-99.7428,34.2954,40
-111.9051,48.878,23
-86.4884,33.2346,0
-89.0629,41.9197,11
-120.8242,35.3065,3
-97.6182,35.5285,33
-87.0384,38.2464,12
-81.6201,35.3621,24
-87.3653,39.537,12
-87.9003,43.1131,45
-80.2702,35.6535,24
-97.3045,39.8553,13
-110.7095,35.0243,2
-79.5563,40.5938,35
-82.0507,26.7645,7
-94.5018,37.0757,21
-75.4003,38.0989,17
-110.6593,33.3584,2
-81.9586,34.9755,37
-90.6776,34.1336,22
-120.6704,37.8199,3
-90.3296,42.9661,45
-82.5568,35.3423,24
-94.4174,35.949,1
-98.2955,30.5639,40
-78.4032,40.2924,35
