,long,lat,country
502389,20.1446,51.216784,24
640953,33.918319,45.942072,32
652878,29.666666999999997,48.8,32
60021,5.966667,50.733333,3
431098,22.2166667,55.75,19
663959,34.816818,49.740253,32
387109,20.75,48.35,15
376486,17.203332,47.001145,15
470418,7.9,63.35,23
291020,0.6546109999999999,47.030954,11
165795,11.183333,48.266667,12
91086,31.9541667,53.2830556,2
116098,14.278795,50.045907,7
644127,29.95545,49.673212,32
33090,17.3866667,43.4333333,4
612333,17.433332999999998,60.583333,31
550715,25.883333,45.733333,26
166416,9.733333,54.15,12
433347,22.4,55.6666667,19
454691,19.291110999999997,43.394444,21
231550,-3.510242,42.532743,30
329619,-4.2,51.183333000000005,13
580177,22.366389,42.339167,27
368820,16.3783333,45.466111100000006,6
224150,-0.633333,38.3,30
252647,2.168779,44.101613,11
226108,-0.116667,40.583333,30
112231,16.08313,49.756939,7
629342,28.355951,50.195881,32
602638,13.433333,59.566667,31
538005,-8.216667,39.483333,25
344775,22.0333333,37.216666700000005,14
86044,28.9666667,55.8,2
599343,15.333332999999998,59.783333,31
381350,20.35,46.966667,15
186408,8.3,52.25,12
307608,0.0110239999999999,44.331253,11
486371,17.52076,52.946098,24
224838,-7.089726,43.273366,30
294589,6.264099,45.803206,11
620194,21.2166667,49.0666667,28
201564,25.8416667,59.283333299999995,9
488076,19.480559,53.059463,24
542187,24.7,46.75,26
158028,11.3,53.016667000000005,12
611060,13.35,57.483332999999995,31
314258,1.705483,50.519564,11
588230,15.233332999999998,59.61666700000001,31
407248,9.106667,39.616667,17
140755,6.983333,50.25,12
585061,20.708056,42.9825,27
259681,3.606345,48.696954,11
15541,14.283333,48.2,1
609109,16.433332999999998,57.083333,31
21025,14.1,48.489444,1
87080,26.0333333,54.9,2
663668,31.105764,48.580294,32
398522,-9.4380556,52.84972220000001,16
549809,25.783333,46.55,26
358041,20.7066667,39.9516667,14
600407,19.7,66.366667,31
164837,9.55,50.766667,12
528916,-9.069531,39.075598,25
192636,8.907542999999999,55.38483000000001,8
